Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
Lr04c01	PLCC-6	0.736	1.614	0.736	1.614	0.669	1.654	Top	0.0
CGRG	0603	3.364	2.043	3.364	2.043	3.394	2.043	Top	-90.0
CBSW	0603	0.679	0.295	0.679	0.295	0.679	0.325	Top	0.0
MGR	SO8	3.345	2.141	3.420	2.031	3.420	2.031	Bottom	0.0
Lr03c11	PLCC-6	3.276	1.398	3.276	1.398	3.209	1.437	Top	0.0
CBLCC	0805	1.504	2.589	1.504	2.589	1.467	2.589	Top	90.0
CSS1	0603	2.521	0.415	2.521	0.415	2.492	0.415	Top	90.0
RGRSET	0603	3.555	2.174	3.555	2.174	3.555	2.203	Bottom	0.0
CGMIN	0805	2.071	2.071	2.071	2.071	2.071	2.033	Bottom	180.0
RBFB	0402a	1.476	0.322	1.476	0.322	1.476	0.305	Bottom	0.0
CGR	Cap2917	3.173	2.274	3.173	2.274	3.173	2.274	Bottom	90.0
RVMH	0402a	1.801	0.076	1.801	0.076	1.801	0.059	Top	0.0
RVML	0402a	1.801	0.141	1.801	0.141	1.801	0.124	Top	0.0
RBATIS	0805	1.427	0.238	1.427	0.238	1.427	0.201	Top	180.0
Lr05c07	PLCC-6	2.252	1.831	2.252	1.831	2.185	1.870	Top	0.0
RFB2	0402a	2.424	0.098	2.424	0.098	2.441	0.098	Top	90.0
U1	UFD28 (4x5QFN)	1.614	0.256	1.614	0.256	1.693	0.187	Top	90.0
UBL	QFN 5x9	1.457	2.343	1.457	2.343	1.551	2.209	Top	180.0
RRTPU	0402a	3.789	0.529	3.789	0.529	3.789	0.512	Top	0.0
DBM	PowerDi	3.016	2.201	3.016	2.248	3.016	2.248	Bottom	-90.0
Lr01c12	PLCC-6	3.531	0.965	3.531	0.965	3.465	1.004	Top	0.0
LBR	Ind	4.335	2.484	4.335	2.484	4.335	2.366	Bottom	180.0
Lr02c04	PLCC-6	1.484	1.181	1.484	1.181	1.417	1.220	Top	0.0
R86FBG	0402a	0.781	0.210	0.781	0.210	0.781	0.226	Top	-180.0
RRRFG	0603	3.717	2.069	3.717	2.069	3.717	2.098	Top	0.0
Lr04c12	PLCC-6	3.531	1.614	3.531	1.614	3.465	1.654	Top	0.0
Lr00c03	PLCC-6	1.228	0.748	1.228	0.748	1.161	0.787	Top	0.0
RCS5	0402a	4.075	0.597	4.075	0.597	4.075	0.581	Top	0.0
RCS6	0402a	3.996	0.597	3.996	0.597	3.996	0.581	Top	0.0
URL	QFN 5x9	0.984	2.343	0.984	2.343	1.079	2.209	Top	180.0
Lr04c07	PLCC-6	2.252	1.614	2.252	1.614	2.185	1.654	Top	0.0
Lr03c07	PLCC-6	2.252	1.398	2.252	1.398	2.185	1.437	Top	0.0
MP1	SO8	1.240	0.267	1.350	0.192	1.350	0.192	Top	90.0
Lr00c09	PLCC-6	2.764	0.748	2.764	0.748	2.697	0.787	Top	0.0
J1	Pi Zero Mounting	4.605	1.312	4.173	1.339	4.576	0.389	Bottom	-90.0
RGMFF	0603	1.858	2.069	1.858	2.069	1.858	2.039	Top	180.0
Lr01c14	PLCC-6	4.043	0.965	4.043	0.965	3.976	1.004	Top	0.0
CSS2	0603	2.521	0.100	2.521	0.100	2.492	0.100	Top	90.0
RRMTS	0603	2.504	2.069	2.504	2.069	2.504	2.098	Top	0.0
Lr03c08	PLCC-6	2.508	1.398	2.508	1.398	2.441	1.437	Top	0.0
RGLTS	0603	0.606	2.069	0.606	2.069	0.606	2.098	Top	0.0
LRL	Ind	1.028	2.480	1.028	2.480	1.028	2.362	Bottom	180.0
RRRFF	0603	3.772	2.069	3.772	2.069	3.772	2.039	Top	180.0
RGRTS	0603	3.441	2.069	3.441	2.069	3.441	2.098	Top	0.0
LGR	Ind	3.390	2.484	3.390	2.484	3.390	2.366	Bottom	180.0
RGLRT	0603	0.331	2.069	0.331	2.069	0.331	2.098	Top	0.0
CIIMON	0402a	1.752	0.210	1.752	0.210	1.752	0.226	Top	180.0
Lr05c15	PLCC-6	4.299	1.831	4.299	1.831	4.232	1.870	Top	0.0
CRRG	0603	3.844	2.043	3.844	2.043	3.874	2.043	Top	-90.0
Lr02c11	PLCC-6	3.276	1.181	3.276	1.181	3.209	1.220	Top	0.0
Lr04c05	PLCC-6	1.740	1.614	1.740	1.614	1.673	1.654	Top	0.0
RGRRT	0603	3.165	2.069	3.165	2.069	3.165	2.098	Top	0.0
Lr02c12	PLCC-6	3.531	1.181	3.531	1.181	3.465	1.220	Top	0.0
Lr04c10	PLCC-6	3.020	1.614	3.020	1.614	2.953	1.654	Top	0.0
DRM	PowerDi	2.543	2.197	2.543	2.244	2.543	2.244	Bottom	-90.0
Lr00c05	PLCC-6	1.740	0.748	1.740	0.748	1.673	0.787	Top	0.0
CRMIN	0805	2.543	2.067	2.543	2.067	2.543	2.030	Bottom	180.0
Lr04c00	PLCC-6	0.480	1.614	0.480	1.614	0.413	1.654	Top	0.0
UGL	QFN 5x9	0.512	2.343	0.512	2.343	0.606	2.209	Top	180.0
CBU4S	0603	4.173	0.384	4.173	0.384	4.173	0.354	Top	-180.0
CBU4D	0603	4.173	0.482	4.173	0.482	4.173	0.512	Top	0.0
Lr03c12	PLCC-6	3.531	1.398	3.531	1.398	3.465	1.437	Top	0.0
Lr01c06	PLCC-6	1.996	0.965	1.996	0.965	1.929	1.004	Top	0.0
Lr02c15	PLCC-6	4.299	1.181	4.299	1.181	4.232	1.220	Top	0.0
RRLTS	0603	1.087	2.069	1.087	2.069	1.087	2.098	Top	0.0
Lr05c14	PLCC-6	4.043	1.831	4.043	1.831	3.976	1.870	Top	0.0
Lr02c09	PLCC-6	2.764	1.181	2.764	1.181	2.697	1.220	Top	0.0
CGM	Cap2917	1.756	2.274	1.756	2.274	1.756	2.274	Bottom	90.0
RRMISP	0805	2.228	2.559	2.228	2.559	2.228	2.596	Bottom	0.0
RRLISP	0805	0.811	2.559	0.811	2.559	0.811	2.596	Bottom	0.0
Lr04c11	PLCC-6	3.276	1.614	3.276	1.614	3.209	1.654	Top	0.0
CSENSE	0402a	0.834	0.256	0.834	0.256	0.817	0.256	Top	-90.0
CBMG	0603	2.892	2.043	2.892	2.043	2.921	2.043	Top	-90.0
UBM	QFN 5x9	2.874	2.343	2.874	2.343	2.969	2.209	Top	180.0
RBRSET	0603	4.441	2.069	4.441	2.069	4.441	2.098	Top	0.0
Lr01c10	PLCC-6	3.016	0.965	3.016	0.965	2.949	1.004	Top	0.0
RRLFG	0603	0.882	2.069	0.882	2.069	0.882	2.098	Top	0.0
CO1	0805	2.669	0.315	2.669	0.315	2.669	0.352	Top	0.0
URM	QFN 5x9	2.402	2.343	2.402	2.343	2.496	2.209	Top	180.0
Lr01c15	PLCC-6	4.299	0.965	4.299	0.965	4.232	1.004	Top	0.0
RRMRT	0603	2.244	2.069	2.244	2.069	2.244	2.098	Top	0.0
CBOUT2	0805	0.996	0.226	0.996	0.226	1.033	0.226	Top	-90.0
RGLSET	0603	0.721	2.174	0.721	2.174	0.721	2.203	Bottom	0.0
Lr05c10	PLCC-6	3.020	1.831	3.020	1.831	2.953	1.870	Top	0.0
Lr04c15	PLCC-6	4.299	1.614	4.299	1.614	4.232	1.654	Top	0.0
CRLIN	0805	1.126	2.067	1.126	2.067	1.126	2.030	Bottom	180.0
Lr02c03	PLCC-6	1.228	1.181	1.228	1.181	1.161	1.220	Top	0.0
URR	QFN 5x9	3.819	2.343	3.819	2.343	3.913	2.209	Top	180.0
RGMRT	0603	1.748	2.069	1.748	2.069	1.748	2.098	Top	0.0
RGMTS	0603	2.024	2.069	2.024	2.069	2.024	2.098	Top	0.0
LGM	Ind	1.972	2.484	1.972	2.484	1.972	2.366	Bottom	180.0
CBMCC	0805	2.921	2.589	2.921	2.589	2.884	2.589	Top	90.0
DRL	PowerDi	1.126	2.197	1.126	2.244	1.126	2.244	Bottom	-90.0
RCX	0402a	1.762	0.342	1.762	0.342	1.762	0.325	Top	0.0
RFBGO	0402a	1.476	0.253	1.476	0.253	1.476	0.236	Bottom	0.0
ROFB	0402a	1.437	0.219	1.437	0.219	1.437	0.203	Bottom	0.0
RSM	0402a	0.856	0.210	0.856	0.210	0.856	0.193	Top	0.0
CBLSS	0603	1.215	2.074	1.215	2.074	1.245	2.074	Bottom	-90.0
Lr01c00	PLCC-6	0.480	0.965	0.480	0.965	0.413	1.004	Top	0.0
RCC	0402a	1.575	0.101	1.575	0.101	1.575	0.118	Top	180.0
DGL	PowerDi	0.654	2.201	0.654	2.248	0.654	2.248	Bottom	-90.0
Lr02c01	PLCC-6	0.736	1.181	0.736	1.181	0.669	1.220	Top	0.0
Lr05c04	PLCC-6	1.484	1.831	1.484	1.831	1.417	1.870	Top	0.0
CRL	Cap2917	0.811	2.270	0.811	2.270	0.811	2.270	Bottom	90.0
CBL	Cap2917	1.283	2.274	1.283	2.274	1.283	2.274	Bottom	90.0
Lr03c10	PLCC-6	3.020	1.398	3.020	1.398	2.953	1.437	Top	0.0
Lr02c00	PLCC-6	0.480	1.181	0.480	1.181	0.413	1.220	Top	0.0
Lr03c13	PLCC-6	3.787	1.398	3.787	1.398	3.720	1.437	Top	0.0
CBU5	0603	3.927	0.344	3.927	0.344	3.957	0.344	Top	-90.0
Lr00c14	PLCC-6	4.043	0.748	4.043	0.748	3.976	0.787	Top	0.0
RBRRT	0603	4.151	2.064	4.151	2.064	4.180	2.064	Bottom	-90.0
CGLCC	0805	0.559	2.589	0.559	2.589	0.522	2.589	Top	90.0
CBIAS	0603	1.614	0.404	1.614	0.404	1.585	0.404	Top	90.0
