Designator, Part, Midx, Midy, Refx, Refy, Padx, Pady, TB, Rotation
CRMG, 22, 0603, 2.171, 1.827, 2.171, 1.827, 2.201, 1.827, Top, -90.0
LBL, 7, Ind, 1.244, 2.268, 1.244, 2.268, 1.244, 2.150, Bottom, 180.0
RBLRT, 28, 0603, 1.060, 1.847, 1.060, 1.847, 1.090, 1.847, Bottom, -90.0
DBM, 2, PowerDi, 2.760, 1.985, 2.760, 2.031, 2.760, 2.031, Bottom, -90.0
U3, 13, BGA25-6.25x6.25, 2.236, 0.238, 2.236, 0.238, 2.236, 0.238, Top, 180.0
RGMFG, 27, 0603, 1.547, 1.852, 1.547, 1.852, 1.547, 1.882, Top, 0.0
RGMFF, 26, 0603, 1.602, 1.852, 1.602, 1.852, 1.602, 1.823, Top, 180.0
MGM, 4, SO8, 1.672, 1.925, 1.747, 1.815, 1.747, 1.815, Bottom, 0.0
CBM, 11, Cap2917, 2.445, 2.057, 2.445, 2.057, 2.445, 2.057, Bottom, 90.0
RGLFF, 26, 0603, 0.185, 1.852, 0.185, 1.852, 0.185, 1.823, Top, 180.0
MBM, 4, SO8, 2.617, 1.925, 2.692, 1.815, 2.692, 1.815, Bottom, 0.0
CSS86, 23, 0603, 0.659, 0.344, 0.659, 0.344, 0.630, 0.344, Top, 90.0
CBOUT3, 18, 0805, 0.740, 0.285, 0.740, 0.285, 0.778, 0.285, Top, -90.0
Lr00c02, 3, PLCC-6, 0.736, 0.531, 0.736, 0.531, 0.669, 0.571, Top, 0.0
Lr04c08, 3, PLCC-6, 2.252, 1.398, 2.252, 1.398, 2.185, 1.437, Top, 0.0
Lr01c08, 3, PLCC-6, 2.252, 0.748, 2.252, 0.748, 2.185, 0.787, Top, 0.0
UBR, 9, QFN 5x9, 4.035, 2.126, 4.035, 2.126, 4.130, 1.992, Top, 180.0
CBRIN, 18, 0805, 4.177, 1.854, 4.177, 1.854, 4.177, 1.817, Bottom, 180.0
CGLG, 22, 0603, 0.274, 1.827, 0.274, 1.827, 0.303, 1.827, Top, -90.0
RRMISP, 20, 0805, 1.972, 2.343, 1.972, 2.343, 1.972, 2.380, Bottom, 0.0
CBRSS, 23, 0603, 3.794, 1.857, 3.794, 1.857, 3.823, 1.857, Bottom, -90.0
RBRSET, 29, 0603, 4.185, 1.852, 4.185, 1.852, 4.185, 1.882, Top, 0.0
Lr01c10, 3, PLCC-6, 2.760, 0.748, 2.760, 0.748, 2.693, 0.787, Top, 0.0
RRLFG, 27, 0603, 0.626, 1.852, 0.626, 1.852, 0.626, 1.882, Top, 0.0
DGM, 2, PowerDi, 1.815, 1.985, 1.815, 2.031, 1.815, 2.031, Bottom, -90.0
Lr01c07, 3, PLCC-6, 1.996, 0.748, 1.996, 0.748, 1.929, 0.787, Top, 0.0
UGM, 9, QFN 5x9, 1.673, 2.126, 1.673, 2.126, 1.768, 1.992, Top, 180.0
DBL, 2, PowerDi, 1.343, 1.985, 1.343, 2.031, 1.343, 2.031, Bottom, -90.0
RGDIS, 40, 0402a, 1.230, 0.190, 1.230, 0.190, 1.230, 0.207, Top, 180.0
Lr03c14, 3, PLCC-6, 3.787, 1.181, 3.787, 1.181, 3.720, 1.220, Top, 0.0
Lr04c06, 3, PLCC-6, 1.740, 1.398, 1.740, 1.398, 1.673, 1.437, Top, 0.0
DGR, 2, PowerDi, 3.232, 1.985, 3.232, 2.031, 3.232, 2.031, Bottom, -90.0
Lr02c08, 3, PLCC-6, 2.252, 0.965, 2.252, 0.965, 2.185, 1.004, Top, 0.0
RFREQ, 0, 0603, 2.196, 0.238, 2.196, 0.238, 2.226, 0.238, Bottom, -90.0
Lr03c03, 3, PLCC-6, 0.972, 1.181, 0.972, 1.181, 0.906, 1.220, Top, 0.0
LRM, 7, Ind, 2.189, 2.264, 2.189, 2.264, 2.189, 2.146, Bottom, 180.0
Lr03c01, 3, PLCC-6, 0.480, 1.181, 0.480, 1.181, 0.413, 1.220, Top, 0.0
J2, 43, USB Micro-B, 0.203, 0.246, 0.238, 0.246, 0.238, 0.195, Bottom, -90.0
Lr04c01, 3, PLCC-6, 0.480, 1.398, 0.480, 1.398, 0.413, 1.437, Top, 0.0
