Designator, Part, Midx, Midy, Refx, Refy, Padx, Pady, TB, Rotation
CGL, 11, Cap2917, 0.083, 2.057, 0.083, 2.057, 0.083, 2.057, Bottom, 90.0
Lr00c11, 3, PLCC-6, 3.020, 0.531, 3.020, 0.531, 2.953, 0.571, Top, 0.0
Lr02c13, 3, PLCC-6, 3.531, 0.965, 3.531, 0.965, 3.465, 1.004, Top, 0.0
CIB, 24, 0603, 1.427, 0.079, 1.427, 0.079, 1.398, 0.079, Top, 90.0
RGLISP, 20, 0805, 0.060, 2.343, 0.060, 2.343, 0.060, 2.381, Bottom, 0.0
CI2, 18, 0805, 2.139, 0.159, 2.139, 0.159, 2.177, 0.159, Bottom, -90.0
RCL, 36, 0402a, 1.476, 0.322, 1.476, 0.322, 1.476, 0.305, Top, 0.0
RMH, 36, 0402a, 2.057, 0.318, 2.057, 0.318, 2.057, 0.335, Top, 180.0
CRRIN, 18, 0805, 3.705, 1.850, 3.705, 1.850, 3.705, 1.813, Bottom, 180.0
RBMRT, 28, 0603, 2.477, 1.847, 2.477, 1.847, 2.507, 1.847, Bottom, -90.0
RBMSET, 29, 0603, 2.768, 1.852, 2.768, 1.852, 2.768, 1.882, Top, 0.0
LBM, 7, Ind, 2.661, 2.268, 2.661, 2.268, 2.661, 2.150, Bottom, 180.0
RBMTS, 30, 0603, 2.712, 1.873, 2.712, 1.873, 2.712, 1.902, Top, 0.0
CBRG, 22, 0603, 4.053, 1.827, 4.053, 1.827, 4.083, 1.827, Top, -90.0
Lr04c09, 3, PLCC-6, 2.508, 1.398, 2.508, 1.398, 2.441, 1.437, Top, 0.0
Lr01c09, 3, PLCC-6, 2.508, 0.748, 2.508, 0.748, 2.441, 0.787, Top, 0.0
LRR, 7, Ind, 3.606, 2.264, 3.606, 2.264, 3.606, 2.146, Bottom, 180.0
CRR, 11, Cap2917, 3.390, 2.053, 3.390, 2.053, 3.390, 2.053, Bottom, 90.0
DRR, 2, PowerDi, 3.705, 1.981, 3.705, 2.028, 3.705, 2.028, Bottom, -90.0
RBRFG, 27, 0603, 3.925, 1.852, 3.925, 1.852, 3.925, 1.882, Top, 0.0
CRRCC, 17, 0805, 3.701, 2.419, 3.701, 2.419, 3.701, 2.382, Top, 180.0
RBRFF, 26, 0603, 3.980, 1.852, 3.980, 1.852, 3.980, 1.823, Top, 180.0
MRR, 4, SO8, 3.562, 1.921, 3.637, 1.811, 3.637, 1.811, Bottom, 0.0
U5, 15, DHVQFN16, 3.709, 0.236, 3.709, 0.236, 3.719, 0.175, Top, 180.0
RRTCLK, 41, 0402a, 3.622, 0.406, 3.622, 0.406, 3.622, 0.423, Top, 180.0
CBMIN, 18, 0805, 2.760, 1.854, 2.760, 1.854, 2.760, 1.817, Bottom, 180.0
CO2, 19, 0805, 2.413, 0.181, 2.413, 0.181, 2.413, 0.143, Top, -180.0
R86FBF, 39, 0402a, 0.475, 0.207, 0.475, 0.207, 0.459, 0.207, Top, -90.0
RBRISP, 20, 0805, 3.862, 2.346, 3.862, 2.346, 3.862, 2.384, Bottom, 0.0
Lr00c00, 3, PLCC-6, 0.224, 0.531, 0.224, 0.531, 0.157, 0.571, Top, 0.0
CBIAS, 24, 0603, 1.358, 0.384, 1.358, 0.384, 1.329, 0.384, Top, 90.0
RBRRT, 28, 0603, 3.895, 1.847, 3.895, 1.847, 3.924, 1.847, Bottom, -90.0
CGLCC, 17, 0805, 0.265, 2.407, 0.265, 2.407, 0.265, 2.369, Top, 180.0
Lr03c13, 3, PLCC-6, 3.531, 1.181, 3.531, 1.181, 3.465, 1.220, Top, 0.0
CBU5, 25, 0603, 3.671, 0.128, 3.671, 0.128, 3.701, 0.128, Top, -90.0
Lr00c14, 3, PLCC-6, 3.787, 0.531, 3.787, 0.531, 3.720, 0.571, Top, 0.0
CRL, 11, Cap2917, 0.555, 2.053, 0.555, 2.053, 0.555, 2.053, Bottom, 90.0
CBL, 11, Cap2917, 1.028, 2.057, 1.028, 2.057, 1.028, 2.057, Bottom, 90.0
Lr03c10, 3, PLCC-6, 2.764, 1.181, 2.764, 1.181, 2.697, 1.220, Top, 0.0
Lr02c00, 3, PLCC-6, 0.224, 0.965, 0.224, 0.965, 0.157, 1.004, Top, 0.0
Lr05c04, 3, PLCC-6, 1.228, 1.614, 1.228, 1.614, 1.161, 1.654, Top, 0.0
RCC, 35, 0402a, 1.319, 0.082, 1.319, 0.082, 1.319, 0.098, Top, 180.0
DGL, 2, PowerDi, 0.398, 1.985, 0.398, 2.031, 0.398, 2.031, Bottom, -90.0
Lr02c01, 3, PLCC-6, 0.480, 0.965, 0.480, 0.965, 0.413, 1.004, Top, 0.0
Lr01c00, 3, PLCC-6, 0.224, 0.748, 0.224, 0.748, 0.157, 0.787, Top, 0.0
CBLSS, 23, 0603, 0.959, 1.857, 0.959, 1.857, 0.989, 1.857, Bottom, -90.0
RSM, 41, 0402a, 0.600, 0.190, 0.600, 0.190, 0.600, 0.173, Top, 0.0
RGLFG, 27, 0603, 0.130, 1.852, 0.130, 1.852, 0.130, 1.882, Top, 0.0
CRM, 11, Cap2917, 1.972, 2.053, 1.972, 2.053, 1.972, 2.053, Bottom, 90.0
RBMISP, 20, 0805, 2.445, 2.346, 2.445, 2.346, 2.445, 2.384, Bottom, 0.0
RGRISP, 20, 0805, 2.894, 2.343, 2.894, 2.343, 2.894, 2.381, Bottom, 0.0
CRMSS, 23, 0603, 1.990, 1.858, 1.990, 1.858, 2.020, 1.858, Bottom, -90.0
CCC, 32, 0402a, 1.348, 0.082, 1.348, 0.082, 1.348, 0.065, Top, 0.0
Lr01c13, 3, PLCC-6, 3.531, 0.748, 3.531, 0.748, 3.465, 0.787, Top, 0.0
CBGATE, 31, 0402a, 1.220, 0.292, 1.220, 0.292, 1.220, 0.276, Top, 0.0
RSP, 41, 0402a, 0.561, 0.190, 0.561, 0.190, 0.561, 0.173, Top, 0.0
CIBMON, 31, 0402a, 1.526, 0.190, 1.526, 0.190, 1.526, 0.207, Top, 180.0
CBMSS, 23, 0603, 2.377, 1.857, 2.377, 1.857, 2.406, 1.857, Bottom, -90.0
X1, 10, XTAL_2520, 0.438, 2.469, 0.438, 2.469, 0.472, 2.441, Top, 180.0
CBLIN, 18, 0805, 1.343, 1.854, 1.343, 1.854, 1.343, 1.817, Bottom, 180.0
CRLG, 22, 0603, 0.754, 1.827, 0.754, 1.827, 0.783, 1.827, Top, -90.0
CRMIN, 18, 0805, 2.287, 1.850, 2.287, 1.850, 2.287, 1.813, Bottom, 180.0
URL, 9, QFN 5x9, 0.728, 2.126, 0.728, 2.126, 0.823, 1.992, Top, 180.0
RIN, 21, 0805, 0.411, 0.089, 0.411, 0.089, 0.374, 0.089, Bottom, 90.0
RRLRT, 28, 0603, 0.571, 1.852, 0.571, 1.852, 0.571, 1.882, Top, 0.0
UGR, 9, QFN 5x9, 3.091, 2.126, 3.091, 2.126, 3.185, 1.992, Top, 180.0
Lr05c10, 3, PLCC-6, 2.764, 1.614, 2.764, 1.614, 2.697, 1.654, Top, 0.0
CGLSS, 23, 0603, 0.100, 1.862, 0.100, 1.862, 0.130, 1.862, Bottom, -90.0
Lr05c00, 3, PLCC-6, 0.224, 1.614, 0.224, 1.614, 0.157, 1.654, Top, 0.0
RBLSET, 29, 0603, 1.350, 1.852, 1.350, 1.852, 1.350, 1.882, Top, 0.0
CGRCC, 17, 0805, 3.099, 2.407, 3.099, 2.407, 3.099, 2.369, Top, 180.0
Lr05c01, 3, PLCC-6, 0.480, 1.614, 0.480, 1.614, 0.413, 1.654, Top, 0.0
Lr03c04, 3, PLCC-6, 1.228, 1.181, 1.228, 1.181, 1.161, 1.220, Top, 0.0
Lr04c03, 3, PLCC-6, 0.972, 1.398, 0.972, 1.398, 0.906, 1.437, Top, 0.0
MRL, 4, SO8, 0.727, 1.921, 0.802, 1.811, 0.802, 1.811, Bottom, 0.0
Lr05c02, 3, PLCC-6, 0.736, 1.614, 0.736, 1.614, 0.669, 1.654, Top, 0.0
RRRISP, 20, 0805, 3.390, 2.343, 3.390, 2.343, 3.390, 2.380, Bottom, 0.0
Lr01c12, 3, PLCC-6, 3.276, 0.748, 3.276, 0.748, 3.209, 0.787, Top, 0.0
CBOUT2, 18, 0805, 0.740, 0.207, 0.740, 0.207, 0.778, 0.207, Top, -90.0
RGLSET, 29, 0603, 0.465, 1.957, 0.465, 1.957, 0.465, 1.987, Bottom, 0.0
RFB2, 38, 0402a, 2.168, 0.079, 2.168, 0.079, 2.185, 0.079, Top, 90.0
U1, 12, UFD28 (4x5QFN), 1.358, 0.236, 1.358, 0.236, 1.437, 0.167, Top, 90.0
Lr03c07, 3, PLCC-6, 1.996, 1.181, 1.996, 1.181, 1.929, 1.220, Top, 0.0
MP1, 6, SO8, 0.984, 0.247, 1.094, 0.172, 1.094, 0.172, Top, 90.0
Lr00c09, 3, PLCC-6, 2.508, 0.531, 2.508, 0.531, 2.441, 0.571, Top, 0.0
RCX, 36, 0402a, 1.506, 0.322, 1.506, 0.322, 1.506, 0.305, Top, 0.0
